ticker,主題標籤,zacks_category,zacks_sector,region_general,region_specific,commodity_type,currency,risk_rank,繁中敘述
009827,人工智慧、半導體、景氣擴張、生產力循環、太空經濟,Equity,,Global,Broad,,,RR4,玉山投信於2026年9月2日推出「玉山未來全球算力ETF」（009827），為國內首檔聚焦全球AI算力與太空基礎建設之跨國指數型ETF，追蹤「NYSE TIP未來全球算力及太空基礎建設指數」，以完全複製法布局全球市值前50大算力供應鏈企業。投資組合以美國為核心（約八成），並納入歐洲、台灣、日本、南韓等地之半導體、雲端運算、資料中心、電力基建與低軌衛星等七大產業，依「AI科技50%：AI基建30%：太空衛星20%」黃金比例加權配置，前十大持股涵蓋輝達、微軟、SpaceX、台積電、Rocket Lab等指標企業，並具備每年2月、8月快速納入新股機制。基金經理人為鄭啟宏，經理費0.80%，保管費依規模採0.21%／0.18%階梯費率，保管銀行為兆豐國際商業銀行，採季配息（每年3、6、9、12月評價）。風險報酬等級為RR4，適合看好AI算力與太空基建長線趨勢、能承受較高產業集中度風險、並追求季配現金流的中長期成長型投資人。
009828,,Equity,,Emerging Asia Pacific,Broad,,,RR5,中國信託投信於2026年8月24日成立、9月2日掛牌上市「中國信託台日韓PCB ETF」（009828），為國內首檔聚焦台、日、韓三地印刷電路板（PCB）供應鏈之海外股票型ETF，追蹤「NYSE TIP台日韓PCB指數」。成分股依市值與流動性篩選後，就核心PCB製造、上中游材料及市場領導者三大類別，採自由流通市值加權，精選30檔標的，單一個股權重上限10%，每年2月、8月定期審核。首募規模約32.4億元，區域配置以台灣約56%為主，日本約35%、南韓約9%，前十大持股包括欣興、Ibiden、台光電、日東電工、臻鼎-KY等，捕捉AI伺服器帶動高階載板與銅箔基板需求倍增的第四輪產業成長週期。基金經理人為葉松炫，經理費0.75%、保管費0.10%，保管銀行為永豐商業銀行，依公開說明書規定收益全數併入基金資產、不予配息。風險報酬等級為RR5，適合看好AI硬體供應鏈成長潛力、能承受高產業與個股集中度風險、且無須固定配息現金流的積極型投資人。
00409A,人工智慧、半導體、景氣擴張、生產力循環、機器人,Equity,,Global,Broad,,,RR4,復華投信於2026年8月20日成立、9月2日掛牌上市「復華全球未來50主動式ETF」（00409A，證券簡稱：主動復華全球50），為國內罕見由核心經理人胡家菱與協管經理人王萬里、黃俊瑞三人共同操盤的全球型主動式ETF，不設定追蹤指數，改採去框架化主動選股，鎖定受惠AI從算力基礎建設、生產力工具應用邁向全自動化應用三大浪潮之全球產業龍頭，以持有50檔個股為原則，採「核心30~40檔＋增強動能10~20檔」雙軌配置策略。區域布局以美國為主（逾五成），並涵蓋日本、台灣、南韓、德國等地，前十大持股包含台積電、美光、SK海力士、AMD、鎧俠等半導體與記憶體要角，同時延伸布局電力能源、PCB載板、光通訊等AI周邊供應鏈。經理費依基金規模採1.40%／1.20%累進費率，保管費0.10%至0.14%，保管銀行為國泰世華商業銀行，採年配息機制（預計每年10月底為評價日）。風險報酬等級為RR4，適合看好全球AI長線趨勢、認同主動選股價值、能承受較高費率與波動並願意中長期持有的積極型投資人。
009829,,Equity,,Developed Asia Pacific,Broad,,,RR5,大華銀投信於2026年8月21日推出「大華銀韓國KOSPI 50 ETF」（股票代碼009829），是台灣睽違近八年後再度掛牌的純韓股ETF，發行價為新臺幣10元，掛牌前規模約29.94億元。本基金採完全複製法，追蹤韓國交易所編製之「KOSPI 50指數」，聚焦韓國市值前50大旗艦企業，以自由流通市值加權，每半年（6月、12月第二個星期四）定期審核成分股，單一成分股權重上限30%。前二大持股SK海力士與三星電子合計逾六成，凸顯基金高度集中於全球記憶體與晶片供應鏈；其餘持股分散於SK Square、三星電機、現代汽車、韓國國民銀行、新韓金融集團等科技與金融龍頭，兼顧成長動能與傳統產業的穩定貢獻。基金經理人為大華銀投信指數量化投資部門主管郭修誠，經理費為年0.30%，保管費依規模級距自0.14%降至0.10%不等，保管銀行為元大商業銀行。收益分配採半年配，除息月份預定為1月與7月。本基金風險報酬等級為RR5，屬於較高風險等級之股票型ETF，適合看好韓國在AI伺服器、高頻寬記憶體（HBM）與半導體供應鏈需求爆發，並期待搭上韓國政府企業價值提升計畫及潛在MSCI已開發市場升級行情的中長期投資人；惟因前二大持股集中度偏高，投資人須留意個股與匯率波動風險。
00411A,人工智慧、半導體、景氣擴張、生產力循環、太空經濟,Equity,,North America,U.S.,,,RR4,統一投信於2026年8月26日推出「統一前沿科技主動式ETF」（股票代碼00411A），為台灣海外主動式科技型ETF，發行價新臺幣10元，最低申購金額1萬元。有別於被動追蹤指數的傳統ETF，本基金由具備豐富科技產業研究經驗的基金經理人郭智偉領軍，透過總體經濟判斷與由下而上的企業基本面研究，主動精選全球（尤其聚焦美國，配置比重約七成）具備高成長與高獲利動能的科技巨頭與潛力獨角獸，投資主題涵蓋AI基建、能源基建、AI軟體應用、太空經濟、量子計算、人形機器人與自動駕駛等前沿領域，代表性標的包括輝達、字母公司（Google）、Palantir、Rocket Lab、IonQ等。基金並將第一大持股上限放寬至20%，賦予經理人在遇到高潛力飆股時重押布局的操作彈性。經理費依規模級距為年1.4%（100億元以下）或1.2%（逾100億元），保管費0.155%，保管銀行為中國信託銀行。收益分配採年配，具收益平準金機制，預計自成立日起180日後於每年3月底評價、4月除息。本基金風險報酬等級為RR4，適合看好全球科技創新趨勢延續、認同主動選股策略、且能承受較高產業集中度與市場波動的中長期積極型投資人；由於採主動管理且內扣費用高於一般被動ETF，投資前應留意經理團隊操作績效能否持續超越大盤。
00987D,,Fixed Income,Government Bond ETFs,North America,U.S.,,,RR2,統一投信於2026年8月26日推出「統一美國公債量化增益主動式ETF」（股票代碼00987D），為統一投信首檔主動式債券型ETF，成立於2026年8月11日，發行價新臺幣10元，截至8月31日基金規模約9.5億元。本基金以ICE美國政府20年期以上債券指數為績效參考指標，但不追蹤、複製其表現，而是採用獨創量化模型主動調整曝險：以「聯準會貨幣氣氛指標」與「動能指標」各占五成之雙重訊號，判斷債市多空轉折，多頭時提高美債現貨與期貨曝險以爭取價差與息收，空頭時則透過期貨對沖降低淨曝險、控制波動，並搭配三階段停損機制與量化匯率避險（依美元強弱、出口動能與避險成本動態調整）。基金主要持有高信評、高流動性之美國長天期政府公債，且投資於美國相關有價證券總金額不得低於淨資產之60%。基金經理人為葉尚鑫，具南山人壽與統一投信固定收益部門資歷；經理費依規模級距為年0.8%（200億元以下）或0.7%，保管費0.1%（200億元以下）或0.08%，保管銀行為第一商業銀行。收益分配採季配，具收益平準金機制，預計自成立日起180日後於每年2、5、8、11月除息。本基金風險報酬等級為RR2，波動度相對較低，適合追求資產配置防禦效果、期待藉美債與美股台股負相關性對沖市場黑天鵝風險，同時希望透過主動量化策略增益債券報酬的穩健型投資人。
00410A,人工智慧、半導體、景氣擴張、生產力循環、機器人,Equity,,Emerging Asia Pacific,Taiwan,,,RR5,永豐台灣科技趨勢主動式ETF（00410A）由永豐投信發行，於2026年8月3日正式在台灣證券交易所掛牌上市，是台股市場少見以「主動選股」為核心策略的科技型主動式ETF。有別於0050、0056等被動追蹤指數的商品，00410A並無特定追蹤指數，而是透過投研團隊自建的「RICHED六大構面綜合評分機制」，從財務健全、產業前景、公司評價、公司競爭力、公司治理及現金殖利率等面向動態篩選個股，聚焦於AI算力爆發、先進製程與封裝、關鍵零組件升級（如電力、散熱、高速通訊）以及AI應用與系統升級四大主軸，全面佈局台灣科技供應鏈中的「護國神山群」，包括台積電、大立光、聯發科等權值股，並涵蓋散熱、載板、探針卡等關鍵利基廠商。基金以新台幣計價，發行價新台幣10元，由經理人周力行操盤，保管銀行為第一銀行，經理費每年1%、保管費每年0.035%，配息機制為半年配並具備收益平準金設計。該基金風險報酬等級為RR5，屬於較高風險商品，適合看好台灣科技產業成長動能、願意承擔較高波動、並期待透過主動選股捕捉AI供應鏈超額報酬機會的積極型投資人，也適合作為衛星配置補強被動科技型ETF曝險不足之處。
009826,,Equity,,Global,Broad,,,RR4,貝萊德iShares安碩世界股票ETF（009826）由全球資產管理龍頭貝萊德投信發行，於2026年8月3日在台灣證券交易所掛牌上市，是一檔採被動式指數化管理的全球股票型ETF，追蹤「標普TIP世界股票指數」（S&P TIP Global All Cap Index）。該指數橫跨全球近40個國家，涵蓋大、中、小型股共上千檔成分股，涵蓋率高達全球可投資市值的近九成，並具備獨特的IPO快速通關機制，最快可於新股上市後T+5個交易日即納入指數，有效掌握新興市場亮點與新星企業的成長動能。以美國為最大配置國家（約六成），其餘依序為日本、英國、台灣、加拿大、南韓等成熟與新興市場並重。該基金以新台幣計價，發行價新台幣10元，由經理人楊貽甯操盤，保管銀行為永豐銀行，經理費依規模採級距收費（150億元以下0.45%、超過則0.40%），保管費亦隨規模調降，掛牌僅四天規模即突破50億元，帶動費率下修。基金採不配息（累積型）設計，投資人免繳股利所得稅及二代健保補充保費。風險報酬等級為RR4，訴求「一檔即夠」的全球核心資產配置，適合希望以台幣、台股帳戶一次布局全球股市、追求長期資本增值、且不欲承擔單一市場或產業集中風險的中長期投資人。
00991B,,Fixed Income,Investment Grade Corporate Bond ETFs,Global,Broad,,,RR4,貝萊德iShares安碩10年期以上A級美元公司債ETF（00991B）由貝萊德投信發行，於2026年8月3日在台灣證券交易所掛牌上市，是一檔採被動式指數化管理的海外債券型ETF，追蹤「ICE TIP 10年期以上A級成熟市場美元公司債指數」。該指數嚴格限定信用評級為A級（Single-A）的投資等級公司債，且僅納入已開發市場企業所發行、票面利率約5%以上、剩餘到期年限10年以上的長天期債券，並設有發行人權重上限以分散單一企業違約風險，投資組合橫跨美國、英國、澳洲、比利時、日本等9個國家，涵蓋電力、醫療保健、銀行、金融服務等11大產業近400檔美元公司債，其中美國占比約85.7%，到期日集中於20年以上超長天期。基金以新台幣計價，發行價新台幣15元，由經理人楊貽甯操盤，保管銀行為永豐銀行，經理費及保管費皆依基金規模採級距遞減收費，採月配息機制，且基金配息可能來自收益平準金。該基金風險報酬等級為RR2，波動度相對較低，訴求在信用品質與收益率之間取得平衡，適合尋求穩定現金流、重視資產防禦力並看好降息循環下長天期投資等級債表現的存股族與穩健型投資人。
00408A,股利因子、動能因子,Equity,,Emerging Asia Pacific,Taiwan,,,RR4,第一金台股趨勢優股息主動式ETF（00408A）由第一金證券投資信託股份有限公司發行，為該公司第二檔主動式台股ETF，於2026年6月24日至30日募集，預計同年7月成立掛牌。有別於追蹤特定指數的被動式ETF，00408A由基金經理人張正中主動操盤，投資範圍鎖定全體上市櫃市值前500大企業，透過「產業強弱勢」、「股利成長」與「股利收益」三大量化策略，篩選兼具「趨勢成長潛力」與「優質現金股息」的個股，原則上股票部位不得低於淨資產70%，其中「趨勢優股息股票」須占60%以上。募集階段預計持股以台積電、奇鋐、聯發科等AI供應鏈與半導體大廠為核心，電子零組件與半導體合計占比約66%，並視除權息旺季（6至9月）機動加碼金融等高息族群，展現「成長與收益雙軌」的操作彈性。發行價每單位新台幣10元，經理費年率0.75%，保管費年率0.035%，保管機構為臺灣中小企業銀行。收益分配採季配息，自成立日起滿60日後開始分配，除息月份預計落在1、4、7、10月，惟基金並無保證收益及配息，配息來源可能為收益平準金。本基金風險報酬等級為RR4。整體而言，00408A適合看好台股大型權值股成長動能、期待穩定現金流、並認同主動選股彈性的中長期投資人，惟須留意主動式ETF績效高度仰賴經理團隊判斷，且持股集中科技類股，波動可能相對明顯。
